Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-5716,B13 - PAS de la PORTE Sud - SA-7,WW1,45.230527,6.457489,JN35FF
FBOTA,227,B/F-5717,B13 - PAS de la PORTE Sud - SA-7,WW1,45.230527,6.457489,JN35FF
FBOTA,227,B/F-5718,PAS de la PORTE Sud 2,WW1,45.2302,6.457824,JN35FF
FBOTA,227,B/F-5719,PAS de la PORTE Sud 2,WW1,45.2302,6.457824,JN35FF
FBOTA,227,B/F-5720,ORGERE,WW1,45.226198,6.67281,JN35IF
FBOTA,227,B/F-5721,ORGERE,WW1,45.226198,6.67281,JN35IF
FBOTA,227,B/F-5722,B9 - COLOMBETTE Nord,WW1,45.221091,6.455634,JN35FF
FBOTA,227,B/F-5723,B9 - COLOMBETTE Nord,WW1,45.221091,6.455634,JN35FF
FBOTA,227,B/F-5724,CHARLES-ALBERT Sud 1,WW1,45.221012,6.745,JN35IF
FBOTA,227,B/F-5725,CHARLES-ALBERT Sud 1,WW1,45.221012,6.745,JN35IF
FBOTA,227,B/F-5726,CHARLES-ALBERT Sud 3,WW1,45.220876,6.744509,JN35IF
FBOTA,227,B/F-5727,CHARLES-ALBERT Sud 3,WW1,45.220876,6.744509,JN35IF
FBOTA,227,B/F-5728,CHARLES-ALBERT Sud 2,WW1,45.220829,6.744412,JN35IF
FBOTA,227,B/F-5729,CHARLES-ALBERT Sud 2,WW1,45.220829,6.744412,JN35IF
FBOTA,227,B/F-5730,B9b - COLOMBETTE Sud,WW1,45.219971,6.454774,JN35FF
FBOTA,227,B/F-5731,B9b - COLOMBETTE Sud,WW1,45.219971,6.454774,JN35FF
FBOTA,227,B/F-5732,COTE 1408 Ouest,WW1,45.217449,6.738986,JN35IF
FBOTA,227,B/F-5733,COTE 1408,WW1,45.217172,6.73962,JN35IF
FBOTA,227,B/F-5734,COTE 1408,WW1,45.217172,6.73962,JN35IF
